metric,n,pearson_r,pearson_p,spearman_r,spearman_p
parse_tree_depth_max,135,-0.19258370959454013,0.02523382285251226,-0.17965948919154576,0.03706564839726655
parse_tree_depth,135,-0.1400965583809764,0.10509457539217792,-0.16119425919512162,0.06180036302645305
inferential_load_proxy,135,-0.12526581777933055,0.14772009085849952,-0.12303013034344755,0.15514385858423077
context_dependence_proxy,135,0.11702048439772367,0.17648391268864433,0.0905787298367608,0.2961187919530068
rst_depth_proxy,135,-0.08431284539085701,0.33092633082486905,-0.11559306347788023,0.18185643843127236
subordination_index,135,-0.0728741881453508,0.40092772417737366,-0.07824411435013194,0.36703320096382946
z_index,135,-0.03960842358629664,0.6483123892603209,-0.11526286014672146,0.1831161649869463
flesch_reading_ease,135,0.03894286007186163,0.6538372809470674,0.06587850817475463,0.44776491979123173
mdd,135,0.0055350697293560245,0.9491978356522264,-0.10240044879066423,0.23727257029020374
