sub_folder_name,level,level_label,level_rank,model,f1_global,f1_class,f1_association,f1_attribute,f1_cardinality
DestroyBlockGame,three,L3 (real),3,claude-sonnet-4-6,0.4024999999999999,0.58,0.4,0.23,0.4
DestroyBlockGame,four,L4 (flat),4,claude-sonnet-4-6,0.3491666666666667,0.52,0.35,0.21,0.3166666666666666
EUScienceConnect,zero,L0 (minimal),0,claude-sonnet-4-6,0.4775,0.75,0.33,0.48,0.35
EUScienceConnect,one,L1 (simple),1,claude-sonnet-4-6,0.61,0.75,0.53,0.56,0.6
EUScienceConnect,two,L2 (mid),2,claude-sonnet-4-6,0.3924999999999999,0.62,0.22,0.48,0.25
EUScienceConnect,three,L3 (real),3,claude-sonnet-4-6,0.62375,0.75,0.56,0.56,0.625
EUScienceConnect,four,L4 (flat),4,claude-sonnet-4-6,0.5625,0.75,0.44,0.56,0.5
Ebike,zero,L0 (minimal),0,claude-sonnet-4-6,0.5091666666666667,0.95,0.62,0.0,0.4666666666666667
Ebike,one,L1 (simple),1,claude-sonnet-4-6,0.5091666666666667,0.95,0.62,0.0,0.4666666666666667
Ebike,two,L2 (mid),2,claude-sonnet-4-6,0.5091666666666667,0.95,0.62,0.0,0.4666666666666667
Ebike,three,L3 (real),3,claude-sonnet-4-6,0.5175,0.95,0.62,0.0,0.5
Ebike,four,L4 (flat),4,claude-sonnet-4-6,0.5091666666666667,0.95,0.62,0.0,0.4666666666666667
Facepage,zero,L0 (minimal),0,claude-sonnet-4-6,0.48,0.8,0.4,0.46,0.26
Facepage,one,L1 (simple),1,claude-sonnet-4-6,0.555,0.8,0.5,0.56,0.36
Facepage,two,L2 (mid),2,claude-sonnet-4-6,0.555,0.8,0.5,0.56,0.36
Facepage,three,L3 (real),3,claude-sonnet-4-6,0.535,0.8,0.5,0.48,0.36
Facepage,four,L4 (flat),4,claude-sonnet-4-6,0.665,0.89,0.74,0.41,0.62
FilmSet,zero,L0 (minimal),0,claude-sonnet-4-6,0.5997727272727272,0.82,0.61,0.46,0.509090909090909
FilmSet,one,L1 (simple),1,claude-sonnet-4-6,0.63,0.82,0.64,0.46,0.6
FilmSet,two,L2 (mid),2,claude-sonnet-4-6,0.5963636363636364,0.76,0.55,0.53,0.5454545454545454
FilmSet,three,L3 (real),3,claude-sonnet-4-6,0.64,0.82,0.61,0.53,0.6
FilmSet,four,L4 (flat),4,claude-sonnet-4-6,0.5220454545454545,0.75,0.42,0.5,0.4181818181818181
FitnessCompanyConan,zero,L0 (minimal),0,claude-sonnet-4-6,0.7486111111111111,0.93,0.75,0.67,0.6444444444444445
FitnessCompanyConan,one,L1 (simple),1,claude-sonnet-4-6,0.6163888888888889,0.8,0.63,0.48,0.5555555555555556
FitnessCompanyConan,two,L2 (mid),2,claude-sonnet-4-6,0.6163888888888889,0.8,0.63,0.48,0.5555555555555556
FitnessCompanyConan,three,L3 (real),3,claude-sonnet-4-6,0.6163888888888889,0.8,0.63,0.48,0.5555555555555556
FitnessCompanyConan,four,L4 (flat),4,claude-sonnet-4-6,0.6163888888888889,0.8,0.63,0.48,0.5555555555555556
GameArea,zero,L0 (minimal),0,claude-sonnet-4-6,0.4253571428571429,0.5,0.43,0.4,0.3714285714285714
GameArea,one,L1 (simple),1,claude-sonnet-4-6,0.5128571428571429,0.5,0.43,0.75,0.3714285714285714
GameArea,two,L2 (mid),2,claude-sonnet-4-6,0.4739285714285715,0.55,0.31,0.75,0.2857142857142857
GameArea,three,L3 (real),3,claude-sonnet-4-6,0.4614285714285714,0.5,0.31,0.75,0.2857142857142857
GameArea,four,L4 (flat),4,claude-sonnet-4-6,0.4603571428571429,0.67,0.4,0.4,0.3714285714285714
GasStation_KUL,zero,L0 (minimal),0,claude-sonnet-4-6,1.0,1.0,1.0,1.0,1.0
GasStation_KUL,one,L1 (simple),1,claude-sonnet-4-6,0.5260714285714286,0.6,0.45,0.34,0.7142857142857143
GasStation_KUL,two,L2 (mid),2,claude-sonnet-4-6,0.8674999999999999,0.88,0.88,0.71,1.0
GasStation_KUL,three,L3 (real),3,claude-sonnet-4-6,0.6285714285714286,0.71,0.56,0.53,0.7142857142857143
GasStation_KUL,four,L4 (flat),4,claude-sonnet-4-6,0.6160714285714285,0.71,0.59,0.45,0.7142857142857143
GasStation_TUW,zero,L0 (minimal),0,claude-sonnet-4-6,0.7716666666666666,1.0,0.92,0.4,0.7666666666666667
GasStation_TUW,one,L1 (simple),1,claude-sonnet-4-6,0.7716666666666666,1.0,0.92,0.4,0.7666666666666667
GasStation_TUW,two,L2 (mid),2,claude-sonnet-4-6,0.7716666666666666,1.0,0.92,0.4,0.7666666666666667
GasStation_TUW,three,L3 (real),3,claude-sonnet-4-6,0.7916666666666666,1.0,1.0,0.4,0.7666666666666667
GasStation_TUW,four,L4 (flat),4,claude-sonnet-4-6,0.7549999999999999,1.0,0.92,0.4,0.7
HelpingHands,zero,L0 (minimal),0,claude-sonnet-4-6,0.1382142857142857,0.3,0.07,0.04,0.1428571428571428
HelpingHands,one,L1 (simple),1,claude-sonnet-4-6,0.08,0.32,0.0,0.0,0.0
HelpingHands,two,L2 (mid),2,claude-sonnet-4-6,0.0625,0.25,0.0,0.0,0.0
HelpingHands,three,L3 (real),3,claude-sonnet-4-6,0.0825,0.33,0.0,0.0,0.0
HelpingHands,four,L4 (flat),4,claude-sonnet-4-6,0.0875,0.35,0.0,0.0,0.0
HomeForTheElderly,zero,L0 (minimal),0,claude-sonnet-4-6,0.3066666666666667,0.64,0.14,0.28,0.1666666666666666
HomeForTheElderly,one,L1 (simple),1,claude-sonnet-4-6,0.3791666666666667,0.73,0.16,0.46,0.1666666666666666
HomeForTheElderly,two,L2 (mid),2,claude-sonnet-4-6,0.2841666666666667,0.55,0.16,0.26,0.1666666666666666
HomeForTheElderly,three,L3 (real),3,claude-sonnet-4-6,0.315,0.52,0.23,0.26,0.25
HomeForTheElderly,four,L4 (flat),4,claude-sonnet-4-6,0.3108333333333333,0.5,0.24,0.27,0.2333333333333333
HospitalHouseMD,zero,L0 (minimal),0,claude-sonnet-4-6,0.3108333333333333,0.67,0.24,0.0,0.3333333333333333
HospitalHouseMD,one,L1 (simple),1,claude-sonnet-4-6,0.6091666666666667,0.8,0.67,0.0,0.9666666666666668
HospitalHouseMD,two,L2 (mid),2,claude-sonnet-4-6,0.5908333333333333,0.86,0.67,0.0,0.8333333333333334
HospitalHouseMD,three,L3 (real),3,claude-sonnet-4-6,0.6566666666666667,0.86,0.8,0.0,0.9666666666666668
HospitalHouseMD,four,L4 (flat),4,claude-sonnet-4-6,0.3283333333333333,0.71,0.27,0.0,0.3333333333333333
HotelBookingManagementSystem,zero,L0 (minimal),0,claude-sonnet-4-6,0.1983333333333333,0.44,0.16,0.06,0.1333333333333333
HotelBookingManagementSystem,one,L1 (simple),1,claude-sonnet-4-6,0.3192857142857143,0.55,0.33,0.14,0.2571428571428571
HotelBookingManagementSystem,two,L2 (mid),2,claude-sonnet-4-6,0.2871428571428571,0.52,0.3,0.1,0.2285714285714285
HotelBookingManagementSystem,three,L3 (real),3,claude-sonnet-4-6,0.2302380952380952,0.44,0.23,0.07,0.1809523809523809
HotelBookingManagementSystem,four,L4 (flat),4,claude-sonnet-4-6,0.2896428571428571,0.5,0.29,0.14,0.2285714285714285
House,zero,L0 (minimal),0,claude-sonnet-4-6,0.4984090909090909,0.8,0.42,0.41,0.3636363636363636
House,one,L1 (simple),1,claude-sonnet-4-6,0.4809090909090909,0.8,0.42,0.34,0.3636363636363636
House,two,L2 (mid),2,claude-sonnet-4-6,0.4809090909090909,0.8,0.42,0.34,0.3636363636363636
House,three,L3 (real),3,claude-sonnet-4-6,0.4809090909090909,0.8,0.42,0.34,0.3636363636363636
House,four,L4 (flat),4,claude-sonnet-4-6,0.4509090909090909,0.7,0.4,0.34,0.3636363636363636
Kinepolis,zero,L0 (minimal),0,claude-sonnet-4-6,0.21,0.5,0.12,0.1,0.12
Kinepolis,one,L1 (simple),1,claude-sonnet-4-6,0.27,0.52,0.21,0.15,0.2
Kinepolis,two,L2 (mid),2,claude-sonnet-4-6,0.275,0.55,0.21,0.14,0.2
Kinepolis,three,L3 (real),3,claude-sonnet-4-6,0.3741666666666666,0.64,0.34,0.21,0.3066666666666666
Kinepolis,four,L4 (flat),4,claude-sonnet-4-6,0.3366666666666666,0.61,0.26,0.21,0.2666666666666666
LabTracker,zero,L0 (minimal),0,claude-sonnet-4-6,0.2821153846153846,0.6,0.26,0.13,0.1384615384615384
LabTracker,one,L1 (simple),1,claude-sonnet-4-6,0.285,0.57,0.25,0.12,0.2
LabTracker,two,L2 (mid),2,claude-sonnet-4-6,0.325,0.67,0.24,0.19,0.2
LabTracker,three,L3 (real),3,claude-sonnet-4-6,0.325,0.67,0.24,0.19,0.2
LabTracker,four,L4 (flat),4,claude-sonnet-4-6,0.3123076923076923,0.57,0.25,0.26,0.1692307692307692
Louvre,zero,L0 (minimal),0,claude-sonnet-4-6,0.5533333333333333,0.77,0.62,0.29,0.5333333333333333
Louvre,one,L1 (simple),1,claude-sonnet-4-6,0.485,0.75,0.44,0.25,0.5
Louvre,two,L2 (mid),2,claude-sonnet-4-6,0.4858333333333333,0.71,0.62,0.18,0.4333333333333333
Louvre,three,L3 (real),3,claude-sonnet-4-6,0.4708333333333334,0.67,0.53,0.25,0.4333333333333333
Louvre,four,L4 (flat),4,claude-sonnet-4-6,0.47,0.8,0.5,0.08,0.5
Menso,zero,L0 (minimal),0,claude-sonnet-4-6,0.2406818181818181,0.52,0.08,0.29,0.0727272727272727
Menso,one,L1 (simple),1,claude-sonnet-4-6,0.2781818181818182,0.57,0.1,0.37,0.0727272727272727
Menso,two,L2 (mid),2,claude-sonnet-4-6,0.3279545454545454,0.61,0.17,0.35,0.1818181818181818
Menso,three,L3 (real),3,claude-sonnet-4-6,0.1902272727272727,0.45,0.09,0.13,0.0909090909090909
Menso,four,L4 (flat),4,claude-sonnet-4-6,0.2652272727272727,0.52,0.08,0.37,0.0909090909090909
Musicmatic,zero,L0 (minimal),0,claude-sonnet-4-6,0.7202272727272727,0.89,0.82,0.48,0.6909090909090909
Musicmatic,one,L1 (simple),1,claude-sonnet-4-6,0.6213636363636363,0.84,0.64,0.46,0.5454545454545454
Musicmatic,two,L2 (mid),2,claude-sonnet-4-6,0.6731818181818182,0.84,0.7,0.48,0.6727272727272727
Musicmatic,three,L3 (real),3,claude-sonnet-4-6,0.6681818181818182,0.84,0.7,0.46,0.6727272727272727
Musicmatic,four,L4 (flat),4,claude-sonnet-4-6,0.6836363636363636,0.89,0.73,0.46,0.6545454545454545
OnlineTutoringSystem,zero,L0 (minimal),0,claude-sonnet-4-6,0.365,0.64,0.39,0.11,0.32
OnlineTutoringSystem,one,L1 (simple),1,claude-sonnet-4-6,0.3558333333333333,0.64,0.29,0.24,0.2533333333333333
OnlineTutoringSystem,two,L2 (mid),2,claude-sonnet-4-6,0.4241666666666667,0.67,0.46,0.22,0.3466666666666667
OnlineTutoringSystem,three,L3 (real),3,claude-sonnet-4-6,0.3675,0.67,0.36,0.16,0.28
OnlineTutoringSystem,four,L4 (flat),4,claude-sonnet-4-6,0.4258333333333333,0.67,0.39,0.27,0.3733333333333333
PizzaDeliveryWithEntertainment,zero,L0 (minimal),0,claude-sonnet-4-6,0.6221153846153846,0.78,0.67,0.5,0.5384615384615384
PizzaDeliveryWithEntertainment,one,L1 (simple),1,claude-sonnet-4-6,0.5059615384615385,0.67,0.5,0.5,0.3538461538461538
PizzaDeliveryWithEntertainment,two,L2 (mid),2,claude-sonnet-4-6,0.5098076923076923,0.67,0.5,0.5,0.3692307692307692
PizzaDeliveryWithEntertainment,three,L3 (real),3,claude-sonnet-4-6,0.5098076923076923,0.67,0.5,0.5,0.3692307692307692
PizzaDeliveryWithEntertainment,four,L4 (flat),4,claude-sonnet-4-6,0.5034615384615384,0.67,0.5,0.49,0.3538461538461538
ProjectManagement,zero,L0 (minimal),0,claude-sonnet-4-6,0.3774999999999999,0.71,0.44,0.0,0.36
ProjectManagement,one,L1 (simple),1,claude-sonnet-4-6,0.39,0.71,0.47,0.0,0.38
ProjectManagement,two,L2 (mid),2,claude-sonnet-4-6,0.375,0.71,0.47,0.0,0.32
ProjectManagement,three,L3 (real),3,claude-sonnet-4-6,0.375,0.71,0.47,0.0,0.32
ProjectManagement,four,L4 (flat),4,claude-sonnet-4-6,0.3575,0.67,0.4,0.0,0.36
School,zero,L0 (minimal),0,claude-sonnet-4-6,0.6452272727272726,0.78,0.64,0.67,0.4909090909090909
School,one,L1 (simple),1,claude-sonnet-4-6,0.4831818181818181,0.71,0.5,0.45,0.2727272727272727
School,two,L2 (mid),2,claude-sonnet-4-6,0.4831818181818181,0.71,0.5,0.45,0.2727272727272727
School,three,L3 (real),3,claude-sonnet-4-6,0.5131818181818182,0.71,0.57,0.5,0.2727272727272727
School,four,L4 (flat),4,claude-sonnet-4-6,0.3888636363636364,0.63,0.4,0.38,0.1454545454545454
SellingGoods,zero,L0 (minimal),0,claude-sonnet-4-6,0.4319444444444444,0.67,0.47,0.21,0.3777777777777777
SellingGoods,one,L1 (simple),1,claude-sonnet-4-6,0.4794444444444444,0.67,0.47,0.4,0.3777777777777777
SellingGoods,two,L2 (mid),2,claude-sonnet-4-6,0.4375,0.62,0.44,0.29,0.4
SellingGoods,three,L3 (real),3,claude-sonnet-4-6,0.4599999999999999,0.62,0.42,0.4,0.4
SellingGoods,four,L4 (flat),4,claude-sonnet-4-6,0.48,0.67,0.5,0.35,0.4
Sightseeing,zero,L0 (minimal),0,claude-sonnet-4-6,0.82625,1.0,0.8,0.88,0.625
Sightseeing,one,L1 (simple),1,claude-sonnet-4-6,0.67375,0.92,0.71,0.59,0.475
Sightseeing,two,L2 (mid),2,claude-sonnet-4-6,0.6125,0.92,0.62,0.56,0.35
Sightseeing,three,L3 (real),3,claude-sonnet-4-6,0.6125,0.92,0.62,0.56,0.35
Sightseeing,four,L4 (flat),4,claude-sonnet-4-6,0.6725,0.92,0.71,0.56,0.5
SmartHomeAutomationSystem,zero,L0 (minimal),0,claude-sonnet-4-6,0.3288157894736842,0.6,0.29,0.12,0.3052631578947368
SmartHomeAutomationSystem,one,L1 (simple),1,claude-sonnet-4-6,0.1975,0.34,0.25,0.0,0.2
SmartHomeAutomationSystem,two,L2 (mid),2,claude-sonnet-4-6,0.2324999999999999,0.43,0.24,0.06,0.2
SmartHomeAutomationSystem,three,L3 (real),3,claude-sonnet-4-6,0.2248684210526315,0.48,0.23,0.0,0.1894736842105263
SmartHomeAutomationSystem,four,L4 (flat),4,claude-sonnet-4-6,0.3063157894736842,0.53,0.33,0.06,0.3052631578947368
Sober,zero,L0 (minimal),0,claude-sonnet-4-6,0.0625,0.25,0.0,0.0,0.0
Sober,one,L1 (simple),1,claude-sonnet-4-6,0.1491666666666666,0.4,0.13,0.0,0.0666666666666666
Sober,two,L2 (mid),2,claude-sonnet-4-6,0.1491666666666666,0.4,0.13,0.0,0.0666666666666666
Sober,three,L3 (real),3,claude-sonnet-4-6,0.1491666666666666,0.4,0.13,0.0,0.0666666666666666
Sober,four,L4 (flat),4,claude-sonnet-4-6,0.1691666666666666,0.5,0.11,0.0,0.0666666666666666
StudentAppointment,zero,L0 (minimal),0,claude-sonnet-4-6,0.40875,0.8,0.46,0.0,0.375
StudentAppointment,one,L1 (simple),1,claude-sonnet-4-6,0.4024999999999999,0.8,0.46,0.0,0.35
StudentAppointment,two,L2 (mid),2,claude-sonnet-4-6,0.40875,0.8,0.46,0.0,0.375
StudentAppointment,three,L3 (real),3,claude-sonnet-4-6,0.40875,0.8,0.46,0.0,0.375
StudentAppointment,four,L4 (flat),4,claude-sonnet-4-6,0.3637499999999999,0.73,0.4,0.0,0.325
TeamSportsScoutingSystem,zero,L0 (minimal),0,claude-sonnet-4-6,0.2439705882352941,0.61,0.18,0.08,0.1058823529411764
TeamSportsScoutingSystem,one,L1 (simple),1,claude-sonnet-4-6,0.2023529411764705,0.5,0.18,0.0,0.1294117647058823
TeamSportsScoutingSystem,two,L2 (mid),2,claude-sonnet-4-6,0.2754411764705882,0.58,0.31,0.0,0.2117647058823529
TeamSportsScoutingSystem,three,L3 (real),3,claude-sonnet-4-6,0.3392647058823529,0.67,0.36,0.08,0.2470588235294117
TeamSportsScoutingSystem,four,L4 (flat),4,claude-sonnet-4-6,0.2629411764705882,0.56,0.28,0.0,0.2117647058823529
TileOGame,zero,L0 (minimal),0,claude-sonnet-4-6,0.2064705882352941,0.5,0.15,0.07,0.1058823529411764
TileOGame,one,L1 (simple),1,claude-sonnet-4-6,0.2288235294117647,0.43,0.25,0.0,0.2352941176470588
TileOGame,two,L2 (mid),2,claude-sonnet-4-6,0.2651470588235294,0.48,0.31,0.0,0.2705882352941176
TileOGame,three,L3 (real),3,claude-sonnet-4-6,0.2463235294117647,0.46,0.29,0.0,0.2352941176470588
TileOGame,four,L4 (flat),4,claude-sonnet-4-6,0.1986764705882353,0.44,0.19,0.0,0.1647058823529411
TransportCompany,zero,L0 (minimal),0,claude-sonnet-4-6,0.4485714285714285,0.64,0.47,0.27,0.4142857142857143
TransportCompany,one,L1 (simple),1,claude-sonnet-4-6,0.355,0.54,0.32,0.26,0.3
TransportCompany,two,L2 (mid),2,claude-sonnet-4-6,0.3392857142857143,0.7,0.26,0.24,0.1571428571428571
TransportCompany,three,L3 (real),3,claude-sonnet-4-6,0.4510714285714286,0.64,0.45,0.3,0.4142857142857143
TransportCompany,four,L4 (flat),4,claude-sonnet-4-6,0.38,0.64,0.33,0.25,0.3
TreatmentPlans,zero,L0 (minimal),0,claude-sonnet-4-6,0.2017105263157894,0.5,0.17,0.0,0.1368421052631579
TreatmentPlans,one,L1 (simple),1,claude-sonnet-4-6,0.1581578947368421,0.52,0.06,0.0,0.0526315789473684
TreatmentPlans,two,L2 (mid),2,claude-sonnet-4-6,0.2439473684210526,0.67,0.19,0.0,0.1157894736842105
