series,pearson_r,pearson_p,spearman_r,spearman_p,n
global,-0.13064368178850158,0.0848412355970164,-0.11499729900561763,0.12967086290809857,175
class,-0.11684465538963948,0.12358184516243605,-0.08167958778533745,0.28256616416572355,175
association,-0.13409829431000642,0.07685375306034736,-0.08362482390764221,0.27122193284131635,175
attribute,-0.07822070048089853,0.30351517539638284,-0.09111107938948701,0.230471764962194,175
cardinality,-0.12100038136699184,0.11069440892176491,-0.06329735673935098,0.4053076678968345,175
