base_model_name,result_type,sum_weighted_f1_class,sum_weighted_f1_rel,total_weight_class,total_weight_rel,sum_weighted_norm_score,total_weight_norm,score_relative_avg,weighted_f1_class_avg,weighted_f1_rel_avg,normalized_score_avg,f1_aggregated
gpt-5.2,one-shot,430.25,449.32,460,473,1752.0,2365,38.93333333333333,0.9353260869565218,0.9499365750528541,0.7408033826638478,0.8753553482244079
gpt-5.2,two-shots,423.87,441.78,460,473,1680.0,2320,37.333333333333336,0.9214565217391304,0.9339957716701902,0.7241379310344828,0.8598634081479344
shot-literal-to-uml-gpt-5.2,one-shot,430.17,449.61,460,473,1729.0,2365,38.422222222222224,0.9351521739130435,0.9505496828752643,0.7310782241014799,0.8722600269632625
